unit,hhtyp,indic_il,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,HH_NDCH,MED_E,PT	6331 b	5579 b	5600 	5091 	4475 	3890 	3495 	3321 	3440 	3786 	4176 	5004 	4980 	5329 	4909 	4432 	4278 	4528 	4262 	: 
EUR,HH_NDCH,MED_E,RO	3434 b	3047 	2819 	2557 	2198 	1767 	1606 	1388 	1256 	1150 	1100 	1045 	1120 	1093 	1040 	841 	: 	: 	: 	: 
EUR,HH_NDCH,MED_E,RS	: 	2404 	2199 	1896 	1435 	1137 	1115 	1014 	1026 	1186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MED_E,SE	18443 	14973 	15670 	15200 	16290 	17318 	16070 	15282 	15640 	15656 	15221 	12895 	11877 	14113 	13299 b	13642 	14105 	13563 	13165 	: 
EUR,HH_NDCH,MED_E,SI	9509 b	8307 	8266 	7561 	6856 	6672 	6370 	6075 	6136 	5944 	6232 	6809 	6418 	6951 	5903 	5488 	5229 	4703 	: 	: 
EUR,HH_NDCH,MED_E,SK	5918 b	5446 	6536 	6363 	6061 	6003 	5433 	5313 	5647 	5021 	5399 	4823 	4752 	4362 	3520 	2929 	2466 	1987 	: 	: 
EUR,HH_NDCH,MED_E,TR	: 	1847 	2316 	2218 	2727 	2991 	2873 	2647 	2754 	2695 	2648 	2727 	2262 	2515 	2418 	2255 	1984 	: 	: 	: 
EUR,HH_NDCH,MED_E,UK	: 	: 	: 	: 	17680 	17806 b	17176 	17446 	17494 	15127 	14622 b	14282 	14333 	14027 	15825 	17318 	16256 	14558 	: 	: 
EUR,HH_NDCH,MED_E,XK	: 	: 	: 	: 	1920 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,AL	: 	2593 	2539 	2261 	2039 	1886 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,AT	22047 b	20111 	21478 	21310 	20199 	19922 	18393 	18347 	18925 	16861 	17141 	16582 	16184 	15946 	15326 b	13806 	13721 	13550 	12746 	12039 
EUR,HH_NDCH,MEI_E,BE	18413 b	17080 	18166 	16704 b	16928 	15646 	15470 	15245 	15529 	14975 	14247 	14225 	14341 	14194 	13841 	12853 	12115 	11847 	11248 	11046 
EUR,HH_NDCH,MEI_E,BG	5313 b	5404 	4814 	4380 	3425 	3624 	2984 b	3121 	2900 	2793 	2576 	2673 	2664 	2622 	2067 	1282 	1155 	: 	: 	: 
EUR,HH_NDCH,MEI_E,CH	36989 	37792 	37202 	33736 	35413 	37342 	38389 	34886 	34409 b	36295 	35471 	30378 	27613 	27411 	25326 	26879 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,CY	13535 b	11437 	11445 	11012 	10358 	9501 	9305 	9490 	10190 	12045 	13645 	13776 	13178 	14156 	14196 b	12860 	12072 	10937 	: 	: 
EUR,HH_NDCH,MEI_E,CZ	10074 b	8810 	8580 	8064 	7212 	6536 	6119 	5754 	5952 	6060 	6040 	5888 	5647 	5906 	4998 	4456 	3861 	3469 	: 	: 
EUR,HH_NDCH,MEI_E,DE	21061 b	20756 	21174 b	17833 	17153 	17046 	16322 	15080 	14278 	14166 	14076 	14116 	14030 	13726 	13717 	13504 	9948 	12146 	: 	: 
EUR,HH_NDCH,MEI_E,DK	28232 b	27325 	25465 b	26017 	26229 	22912 	21727 	20905 	20128 	19724 	20273 	20411 b	20007 	16567 	20044 	19487 	18520 	18017 	16952 	15399 
EUR,HH_NDCH,MEI_E,EA	: 	14838 	15243 b	14476 	13888 e	13721 e	13204 e	12742 e	12542 e	12724 e	13015 e	12936 e	13200 e	13316 e	13085 e	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,EA18	: 	: 	15300 b	14533 	13944 	13776 	13261 	12800 	12542 	12673 	12962 	12880 	13117 	13242 	12873 	11487 	10262 	10676 	: 	: 
EUR,HH_NDCH,MEI_E,EA19	: 	14838 	15243 b	14476 	13888 	13721 	13204 	12742 	12481 	12608 	12893 	12808 	13044 	13172 	12801 	11418 	10199 	10603 	: 	: 
EUR,HH_NDCH,MEI_E,EA20	15772 	14890 	15126 	14357 	13770 	13604 	13089 	12632 	12432 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,EE	13472 	11059 	11004 	10041 	9220 	8188 	7767 	7416 	6537 b	5561 	5099 	4669 	4984 	5846 	5198 	4282 	3536 	2772 	2507 	: 
EUR,HH_NDCH,MEI_E,EL	6544 b	5746 	5668 	5121 	4735 	4359 	4017 	3994 	3959 	4507 	5240 	7110 	8929 	8404 	7907 	7852 	7234 	6998 	6536 	6241 
EUR,HH_NDCH,MEI_E,ES	12626 b	11521 	12044 	11356 	11110 	10797 	10288 	10003 	10062 	10635 	11384 	11453 	12667 	13487 	13038 b	10069 	9506 	9029 	8081 	: 
EUR,HH_NDCH,MEI_E,EU	: 	: 	: 	13848 e	13360 e	13133 e	12586 e	12356 e	12036 e	11777 e	11938 e	11831 e	11884 e	12045 e	12007 e	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,EU27_2007	: 	: 	: 	13925 e	13436 	13207 	12659 	12427 	12106 	11846 	12007 	11898 	11946 	12045 	12007 	11226 	10129 e	10214 e	: 	: 
EUR,HH_NDCH,MEI_E,EU27_2020	14420 	13456 	13595 b	12876 e	12319 e	12062 e	11569 e	11159 e	10898 e	10994 e	11222 e	11136 e	11225 e	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,EU28	: 	: 	: 	13848 e	13360 	13133 	12586 	12356 	12036 	11777 	11938 	11831 	11884 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,FI	20826 	20103 	20824 	19995 	19706 	18744 	18347 	18740 	18852 	18878 	18505 	17321 	16930 	17977 	17423 	15528 	14834 	14878 	13642 	: 
EUR,HH_NDCH,MEI_E,FR	14899 b	13949 	13563 b	16580 	15086 	15691 	15413 	15907 	15681 	15938 	16427 	15657 	15153 	15452 	14509 b	10401 	10145 	10424 	10746 	: 
EUR,HH_NDCH,MEI_E,HR	6814 b	5685 	5541 	5159 	4649 	4627 	4223 	4140 	4009 	3876 	3984 	4166 	4716 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,HU	5919 b	5373 	5187 	4565 	4282 	3816 	3706 	3520 	3408 	3215 	3220 	3211 	2742 	3192 	3046 	2929 	3175 	2434 	: 	: 
EUR,HH_NDCH,MEI_E,IE	25733 b	23253 	23329 b	23439 	22826 	20726 	17641 	17335 	16015 	15927 	15626 	15845 	17125 	19277 	21979 	21898 	19735 	18208 	17207 	16261 
EUR,HH_NDCH,MEI_E,IS	: 	: 	: 	: 	35674 	30924 	25887 	22023 	19245 	18324 	16713 	16686 	17492 	24233 	32506 	28123 	28371 	22487 	20903 	: 
EUR,HH_NDCH,MEI_E,IT	12835 b	11939 	12592 	12152 	11862 	11544 	11229 	10681 	10724 	11036 	11648 	11307 	11685 	11628 	11333 	11237 	10977 	10655 	10117 	: 
EUR,HH_NDCH,MEI_E,LT	10150 b	9304 	8010 	7296 	6620 	6452 	5768 	5239 	4782 	4245 	3826 	3279 	3613 	4510 	3918 	3309 	2375 	1949 	: 	: 
EUR,HH_NDCH,MEI_E,LU	36297 b	29679 b	23646 b	25961 	23298 	24632 	22568 b	26466 	25326 	26531 	25761 	23991 	26233 	26016 	24743 	24688 	22586 	22122 	20567 	21182 
EUR,HH_NDCH,MEI_E,LV	8654 b	8524 	7781 	7651 	6720 	6139 	5710 	5317 	4862 	4301 	3885 	3460 	3998 	5507 	5136 	3294 	2764 	1941 	: 	: 
EUR,HH_NDCH,MEI_E,ME	4152 	3545 	3623 	3367 	3239 	2831 	2769 	2733 	2656 	2655 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,MK	: 	: 	2484 	2209 	2238 	2083 	1973 	1796 	1551 	1523 	1531 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,MT	17229 b	16001 	15526 	14023 	13169 	12957 	11948 	11901 	11404 	10786 	10614 	10309 	10138 	10292 	9764 	8594 	8934 	8189 	: 	: 
EUR,HH_NDCH,MEI_E,NL	21782 b	20839 	20694 	19285 	18716 	18525 	17955 b	16613 	16176 	16483 	16057 	16434 	16831 	17314 	16505 	15572 	14718 	14747 	: 	: 
EUR,HH_NDCH,MEI_E,NO	32590 	28854 b	32061 	31924 	27975 	31086 	30485 	31621 	33748 	34681 	31549 	26034 	25180 	28954 	27103 	23405 	21741 	26230 	23778 	27000 
EUR,HH_NDCH,MEI_E,PL	7149 b	6311 	6080 	5640 	5028 	4722 	4584 	4337 	4309 	4227 	4147 	4057 	3547 	4186 	3354 	2666 	2313 	1907 	: 	: 
EUR,HH_NDCH,MEI_E,PT	7942 b	6940 b	6858 	6264 	5650 	5242 	4956 	4821 	4926 	5502 	5645 	6852 	6782 	7038 	6737 	6343 	6121 	6190 	5805 	: 
EUR,HH_NDCH,MEI_E,RO	4210 b	3802 	3589 	3298 	2783 	2165 	1999 	1854 	1689 	1579 	1587 	1601 	1588 	1711 	1635 	1379 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,RS	: 	2968 	2799 	2365 	1809 	1680 	1739 	1580 	1546 	1721 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,HH_NDCH,MEI_E,SE	21831 	17359 	17138 	17117 	18234 	18317 	17704 	17352 	17532 	17219 	16178 	14023 	12486 	14698 	14067 b	15422 	15211 	14752 	14038 	: 
EUR,HH_NDCH,MEI_E,SI	11121 b	9853 	9833 	9144 	8306 	7921 	7454 	7419 	7349 	7221 	7469 	7880 	7714 	7935 	7020 	6483 	6187 	5566 	: 	: 
EUR,HH_NDCH,MEI_E,SK	6519 b	6036 	6608 	6496 	6057 	6040 	5808 	5471 	5879 	5433 	5878 	5358 	5262 	4755 	3841 	3200 	2746 	2230 	: 	: 
EUR,HH_NDCH,MEI_E,TR	: 	2738 	3361 	3314 	3909 	4478 	4432 	3900 	3942 	3977 	3983 	4178 	3390 	3995 	3713 	3571 	3100 	: 	: 	: 
EUR,HH_NDCH,MEI_E,UK	: 	: 	: 	: 	20114 	20186 b	19003 	19789 	19135 	16696 	16634 b	16687 	16529 	16119 	18356 	20164 	18820 	18285 	: 	: 
EUR,HH_NDCH,MEI_E,XK	: 	: 	: 	: 	2724 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,AL	: 	2024 	2048 	1760 	1594 	1369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,AT	20700 b	19797 	19845 	18523 	18706 	18080 	17088 	16823 	16811 	15913 	15924 	15308 	15308 	15125 	14300 b	13195 	13058 	12593 	12235 	11306 
EUR,TOTAL,MED_E,BE	21891 b	19556 	20409 	19121 b	19072 	17897 	17567 	17080 	17515 	17398 	16048 	15508 	15472 	15438 	14521 	13869 	13907 	13134 	12478 	12256 
EUR,TOTAL,MED_E,BG	4150 b	3905 	3744 	3390 	2727 	2772 	2336 b	2556 	2297 	2269 	2241 	2254 	2373 	2399 	1788 	1193 	1000 	: 	: 	: 
EUR,TOTAL,MED_E,CH	36515 	36115 	35204 	33146 	33866 	34848 	35824 	32475 	31099 b	34420 	32872 	28270 	25605 	24621 	22664 	23119 	: 	: 	: 	: 
EUR,TOTAL,MED_E,CY	14963 b	13637 	13724 	13174 	12379 	11647 	11041 	10558 	11480 	12834 	14228 	14253 	13756 	14329 	14082 b	14179 	12744 	11761 	: 	: 
EUR,TOTAL,MED_E,CZ	10588 b	8952 	9281 	8843 	8035 	7125 	6642 	6250 	6298 	6304 	6352 	5948 	5692 	6042 	4913 	4404 	3854 	3336 	: 	: 
EUR,TOTAL,MED_E,DE	19752 b	19259 	21546 b	19139 	17972 	17517 	16733 	15990 	15387 	15229 	15443 	14542 	14620 	14405 	14225 	13634 	11271 	12299 	: 	: 
EUR,TOTAL,MED_E,DK	30301 b	28387 	27089 b	27723 	27144 	26182 	25451 	25099 	24475 	24073 	24037 	23970 b	22755 	21924 	22196 	21422 	20209 	19820 	18955 	18480 
EUR,TOTAL,MED_E,EA	: 	15133 	15827 b	15060 	14404 e	13996 e	13487 e	13118 e	12895 e	12953 e	13089 e	12799 e	12991 e	13092 e	12998 e	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,EA18	: 	: 	15898 b	15133 	14476 	14071 	13561 	13195 	12895 	12896 	13029 	12737 	12894 	13005 	12744 	11541 	10775 	10818 	: 	: 
EUR,TOTAL,MED_E,EA19	: 	15133 	15827 b	15060 	14404 	13996 	13487 	13118 	12815 	12813 	12942 	12644 	12797 	12915 	12652 	11449 	10683 	10720 	: 	: 
EUR,TOTAL,MED_E,EA20	16050 	15053 	15710 	14939 	14284 	13874 	13364 	12995 	12769 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,EE	12957 	10568 	10329 	9800 	9105 	7906 	7368 	6821 	6100 b	5520 	5033 	4627 	4671 	5278 	4919 	3899 	3099 	2579 	2167 	: 
EUR,TOTAL,MED_E,EL	6574 b	5853 	5761 	5444 	5000 	4709 	4352 	4425 	4520 	4720 	5856 	7660 	8867 	8676 	8150 	7567 	7542 	7628 	6910 	6285 
EUR,TOTAL,MED_E,ES	12065 b	10681 	11715 	10903 	10790 	10204 	9382 	9084 	8993 	9493 	10037 	10177 	11022 	11638 	11304 b	9178 	8889 	8381 	7833 	: 
EUR,TOTAL,MED_E,EU	: 	: 	: 	13755 e	13238 e	12803 e	12391 e	12051 e	11776 e	11475 e	11607 e	11169 e	11182 e	11331 e	11313 e	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,EU27_2007	: 	: 	: 	13825 e	13308 	12875 	12464 	12125 	11850 	11546 	11677 	11234 	11244 	11331 	11313 	10575 	9729 e	9571 e	: 	: 
EUR,TOTAL,MED_E,EU27_2020	14436 	13442 	13916 b	13206 e	12612 e	12178 e	11715 e	11384 e	11076 e	11065 e	11123 e	10835 e	10836 e	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,EU28	: 	: 	: 	13755 e	13238 	12803 	12391 	12051 	11776 	11475 	11607 	11169 	11182 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,FI	21914 	20965 	21300 	20755 	19816 	18959 	18660 	19135 	19019 	19121 	18747 	17802 	17283 	17698 	16536 	15178 	14779 	14295 	13343 	: 
EUR,TOTAL,MED_E,FR	16707 b	15950 	15408 b	16887 	16031 	15903 	15859 	16137 	15689 	15687 	15530 	14882 	14680 	14814 	14391 b	11844 	11877 	11908 	11437 	: 
EUR,TOTAL,MED_E,HR	7244 b	6421 	6406 	5781 	5181 	4681 	4233 	3948 	3695 	3746 	3924 	4006 	4390 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,HU	5246 b	4818 	4939 	4383 	3843 	3496 	3266 	3052 	2937 	2903 	3079 	2760 	2598 	2913 	2690 	2540 	2609 	2235 	: 	: 
EUR,TOTAL,MED_E,IE	23075 b	21545 	21409 b	20458 	20519 	17965 	16766 	15772 	13433 	13334 	12669 	12668 	13185 	15814 	17786 	17431 	16091 	15217 	15116 	14426 
EUR,TOTAL,MED_E,IS	: 	: 	: 	: 	36031 	31155 	25461 	21775 	19635 	18207 	16284 	16116 	15418 	20253 	29666 	26307 	25485 	21142 	19982 	: 
EUR,TOTAL,MED_E,IT	12865 b	11640 	12867 	12239 	11634 	11489 	11309 	11048 	10996 	10998 	11338 	11421 	11440 	11448 	11527 	11065 	10767 	10517 	9989 	: 
EUR,TOTAL,MED_E,LT	8404 b	7660 	7110 	6126 	5769 	5069 	4715 	4229 	3878 	3580 	3335 	2641 	2808 	3832 	3475 	2850 	2143 	1670 	: 	: 
EUR,TOTAL,MED_E,LU	34198 b	31008 b	25485 b	24470 	22756 	24625 	22642 b	24786 	23797 	22180 	21526 	22780 	22205 	21857 	23108 	22834 	21889 	20879 	20579 	19353 
EUR,TOTAL,MED_E,LV	8128 b	7779 	7345 	7034 	6262 	5646 	5319 	4806 	4240 	3684 	3472 	3083 	3399 	4711 	4213 	2789 	2085 	1694 	: 	: 
EUR,TOTAL,MED_E,ME	3178 	2760 	2857 	2760 	2644 	2393 	2286 	2162 	2000 	2000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,MK	: 	: 	2134 	2039 	1952 	1818 	1671 	1610 	1460 	1434 	1326 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,MT	15955 b	14764 	14049 	13610 	12703 	12314 	11505 	11595 	10787 	9809 	9453 	8992 	8740 	9168 	8781 	8052 	7775 	7575 	: 	: 
EUR,TOTAL,MED_E,NL	27886 b	26350 	23519 	22210 	21552 	21225 	20076 b	18397 	18032 	18185 	17690 	17455 	17686 	17753 	17192 	15939 	14813 	14403 	: 	: 
EUR,TOTAL,MED_E,NO	31936 	28170 b	32686 	31830 	31649 	30830 	32092 	33446 	35783 	35506 	32938 	28994 	26568 	28147 	26151 	23662 	20737 	20472 	22498 	23909 
EUR,TOTAL,MED_E,PL	6358 b	5932 	5830 	5163 	4684 	4325 	4343 	4076 	3891 	3812 	3761 	3755 	3281 	3842 	3017 	2403 	2023 	1578 	: 	: 
EUR,TOTAL,MED_E,PT	8100 b	8391 b	8207 	7624 	6960 	6552 	6139 	5741 	5542 	5699 	5890 	6267 	6413 	6330 	6300 	5838 	5687 	5636 	5351 	: 
EUR,TOTAL,MED_E,RO	4126 b	3672 	3269 	2908 	2427 	1931 	1645 	1573 	1382 	1317 	1320 	1301 	1339 	1412 	1321 	1103 	: 	: 	: 	: 
EUR,TOTAL,MED_E,RS	: 	2836 	2732 	2272 	1823 	1585 	1484 	1441 	1473 	1495 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MED_E,SE	22077 	19487 	19259 	19008 	20270 	20115 	19496 	19966 	19759 	20106 	18660 	16513 	14509 	16056 	15283 b	14633 	13998 	13665 	13418 	: 
EUR,TOTAL,MED_E,SI	13473 b	12152 	11819 	11307 	10532 	9759 	9506 	9448 	9029 	9047 	9197 	9311 	9085 	9342 	8434 	7561 	7059 	6444 	: 	: 
EUR,TOTAL,MED_E,SK	6173 b	6041 	6696 	6427 	5961 	5650 	5367 	5345 	5351 	5282 	5575 	5085 	4935 	4586 	3899 	3233 	2615 	2230 	: 	: 
EUR,TOTAL,MED_E,TR	: 	1922 	2318 	2210 	2592 	2881 	2778 	2528 	2610 	2549 	2425 	2531 	2070 	2305 	2232 	2071 	1805 	: 	: 	: 
EUR,TOTAL,MED_E,UK	: 	: 	: 	: 	17293 	16882 b	16839 	16464 	16463 	14238 	14919 b	13504 	13622 	13094 	15685 	17247 	15670 	14920 	: 	: 
EUR,TOTAL,MED_E,XK	: 	: 	: 	: 	1657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,AL	: 	2492 	2461 	2176 	1952 	1759 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,AT	22876 b	21664 	21818 	21143 	20784 	20449 	18947 	18914 	19026 	17670 	17806 	17325 	17198 	16927 	16233 b	14610 	14237 	14102 	13365 	12748 
EUR,TOTAL,MEI_E,BE	21974 b	20022 	20800 	19471 b	19322 	18533 	18346 	17742 	17909 	17911 	16608 	16257 	16219 	15949 	15472 	14685 	14366 	13685 	12657 	12987 
EUR,TOTAL,MEI_E,BG	5577 b	5475 	5002 	4614 	3694 	3729 	3016 b	3266 	2885 	2781 	2580 	2762 	2789 	2757 	2237 	1388 	1163 	: 	: 	: 
EUR,TOTAL,MEI_E,CH	41047 	40930 	39154 	35952 	37384 	39108 	39897 	35785 	35022 b	37521 	36027 	31418 	28087 	27506 	25557 	26485 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,CY	16762 b	14660 	14836 	14453 	13124 	12641 	12421 	12391 	12990 	14526 	15834 	15644 	15155 	15679 	15490 b	15429 	14101 	12866 	: 	: 
EUR,TOTAL,MEI_E,CZ	11193 b	9708 	9791 	9176 	8286 	7503 	7070 	6645 	6763 	6802 	6843 	6563 	6254 	6568 	5334 	4797 	4180 	3733 	: 	: 
EUR,TOTAL,MEI_E,DE	22076 b	21934 	23095 b	19878 	19561 	18808 	18041 	17286 	16596 	16508 	16174 	15708 	15628 	15657 	15518 	15110 	11709 	13181 	: 	: 
EUR,TOTAL,MEI_E,DK	32325 b	29996 	28502 b	29374 	28763 	27717 	26881 	25544 	25104 	24084 	24324 	23846 b	22042 	20263 	22101 	21366 	20036 	19405 	18666 	17551 
EUR,TOTAL,MEI_E,EA	: 	17110 	17530 b	16516 	16018 e	15632 e	15154 e	14725 e	14502 e	14599 e	14704 e	14531 e	14676 e	14797 e	14675 e	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,EA18	: 	: 	17602 b	16589 	16093 	15710 	15232 	14804 	14502 	14537 	14639 	14463 	14570 	14701 	14386 	12992 	11919 	11993 	: 	: 
EUR,TOTAL,MEI_E,EA19	: 	17110 	17530 b	16516 	16018 	15632 	15154 	14725 	14417 	14448 	14544 	14360 	14467 	14603 	14284 	12889 	11819 	11887 	: 	: 
EUR,TOTAL,MEI_E,EA20	18009 	17094 	17395 	16384 	15883 	15496 	15016 	14588 	14362 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,EE	14725 	11922 	11617 	10962 	10003 	8914 	8516 	8130 	7352 b	6447 	5800 	5284 	5462 	6117 	5528 	4588 	3685 	3037 	2739 	: 
EUR,TOTAL,MEI_E,EL	7845 b	7002 	6986 	6394 	6069 	5873 	5605 	5612 	5769 	5988 	7244 	9204 	10557 	10222 	9818 	9283 	9128 	8796 	8110 	7577 
EUR,TOTAL,MEI_E,ES	14228 b	12954 	13672 	13085 	12958 	12402 	11762 	11326 	11145 	11371 	12193 	12445 	13181 	13749 	13270 b	10738 	10178 	9660 	8955 	: 
EUR,TOTAL,MEI_E,EU	: 	: 	: 	15273 e	14840 e	14409 e	13913 e	13605 e	13236 e	12915 e	13017 e	12776 e	12694 e	12841 e	12822 e	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,EU27_2007	: 	: 	: 	15351 e	14920 	14489 	13994 	13687 	13318 	12993 	13095 	12850 	12763 	12841 	12822 	11928 	10851 e	10779 e	: 	: 
EUR,TOTAL,MEI_E,EU27_2020	16153 	15200 	15382 b	14490 e	13994 e	13577 e	13132 e	12727 e	12429 e	12418 e	12455 e	12254 e	12199 e	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,EU28	: 	: 	: 	15273 e	14840 	14409 	13913 	13605 	13236 	12915 	13017 	12776 	12694 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,FI	23785 	22616 	23099 	22449 	21482 	20561 	20330 	20506 	20577 	20608 	20065 	19004 	18535 	18840 	17891 	16658 	16113 	15466 	14570 	: 
EUR,TOTAL,MEI_E,FR	19298 b	18561 	17744 b	18989 	17730 	17947 	18002 	18067 	17708 	18091 	18143 	17508 	17079 	17091 	16559 b	12860 	13079 	12911 	12505 	: 
EUR,TOTAL,MEI_E,HR	7910 b	7023 	6789 	6325 	5666 	5322 	4809 	4540 	4333 	4333 	4471 	4673 	5135 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,HU	6169 b	5530 	5717 	5018 	4537 	4004 	3813 	3581 	3489 	3393 	3573 	3323 	2909 	3306 	3103 	2906 	3312 	2642 	: 	: 
EUR,TOTAL,MEI_E,IE	25228 b	23672 	23382 b	22891 	22406 	20604 	18819 	17941 	16694 	16040 	15449 	15455 	16264 	18486 	20460 	20429 	18741 	17418 	16838 	15842 
EUR,TOTAL,MEI_E,IS	: 	: 	: 	: 	37239 	31744 	26458 	22579 	20158 	18944 	17210 	16802 	16730 	23522 	33145 	29763 	27738 	22542 	20974 	: 
EUR,TOTAL,MEI_E,IT	15106 b	13823 	14649 	13972 	13714 	13445 	13210 	12856 	12827 	12953 	13267 	13207 	13390 	13379 	13175 	13002 	12630 	12335 	11679 	: 
EUR,TOTAL,MEI_E,LT	10682 b	9691 	8703 	7637 	7023 	6321 	5864 	5552 	4920 	4457 	4013 	3353 	3750 	4764 	4161 	3353 	2577 	2117 	: 	: 
EUR,TOTAL,MEI_E,LU	38606 b	34199 b	29119 b	29857 	26809 	28654 	26077 b	29099 	27469 	27483 	26138 	26238 	26415 	26623 	26710 	25964 	25274 	23659 	22873 	22203 
EUR,TOTAL,MEI_E,LV	9627 b	9348 	8720 	8258 	7392 	6503 	6224 	5757 	5172 	4604 	4308 	3840 	4241 	5612 	5121 	3432 	2732 	2086 	: 	: 
EUR,TOTAL,MEI_E,ME	3714 	3282 	3398 	3214 	3143 	3102 	2865 	2766 	2684 	2650 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,MK	: 	: 	2418 	2219 	2115 	2009 	1919 	1838 	1731 	1725 	1650 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,MT	18556 b	17039 	16421 	14684 	14210 	13783 	12846 	12647 	11770 	10839 	10235 	9897 	9674 	9905 	9576 	8609 	8526 	8237 	: 	: 
EUR,TOTAL,MEI_E,NL	27037 b	26028 	24742 	22541 	21958 	21706 	20620 b	19263 	18711 	18514 	18255 	18067 	18428 	18779 	18503 	17015 	15692 	15090 	: 	: 
EUR,TOTAL,MEI_E,NO	34901 	30454 b	33666 	33408 	31446 	32299 	33137 	34273 	36920 	36337 	33761 	29266 	27255 	29656 	27824 	24067 	23608 	23505 	24480 	26562 
EUR,TOTAL,MEI_E,PL	7229 b	6746 	6629 	6054 	5441 	5089 	5100 	4867 	4716 	4580 	4573 	4511 	3956 	4683 	3799 	3050 	2679 	2180 	: 	: 
EUR,TOTAL,MEI_E,PT	9532 b	9301 b	9135 	8404 	7737 	7408 	7029 	6743 	6538 	6750 	7023 	7751 	7894 	7957 	7872 	7601 	7371 	7339 	6910 	: 
EUR,TOTAL,MEI_E,RO	4594 b	4176 	3822 	3506 	2939 	2281 	2027 	1891 	1745 	1654 	1634 	1668 	1691 	1821 	1737 	1497 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,RS	: 	3330 	3214 	2642 	2118 	1994 	1941 	1952 	1867 	1973 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,MEI_E,SE	23129 	20061 	19441 	19167 	20490 	20741 	20034 	19832 	20012 	19846 	18461 	16296 	14435 	16289 	15475 b	15403 	14550 	14394 	13924 	: 
EUR,TOTAL,MEI_E,SI	13932 b	12649 	12333 	11834 	10839 	10270 	9981 	9947 	9533 	9467 	9623 	9692 	9588 	9718 	8846 	8015 	7596 	6983 	: 	: 
EUR,TOTAL,MEI_E,SK	6530 b	6350 	6761 	6548 	5994 	5827 	5669 	5582 	5867 	5596 	6007 	5419 	5285 	4970 	4074 	3383 	2916 	2389 	: 	: 
EUR,TOTAL,MEI_E,TR	: 	2866 	3412 	3210 	3849 	4302 	4129 	3679 	3728 	3712 	3537 	3709 	3022 	3374 	3231 	3013 	2684 	: 	: 	: 
